loss,accuracy,val_loss,val_accuracy
1.279083909534794,0.6296862959861755,0.37782105524850085,0.9035837054252625
0.20036980583959774,0.9378028512001038,0.24746181285841679,0.9350848197937012
0.11434683047407927,0.9653787016868591,0.2153537479963729,0.940951406955719
0.07948653766155259,0.9751657843589783,0.18057374277613997,0.9473281502723694
0.06319797945073341,0.9801071286201477,0.18276063946446752,0.9494962096214294
0.056077756088595554,0.9817010760307312,0.176909520290792,0.9586787223815918
0.043983832486824165,0.9861004948616028,0.20668238307523534,0.9483484029769897
0.04047871979989491,0.9873437881469727,0.16215361652486934,0.9557454586029053
0.05002355496965594,0.9845702648162842,0.15354095795381117,0.9645453095436096
0.029223711179684555,0.9906911253929138,0.17950552930426975,0.9595714807510376
